company,lane,email,source_url,status,last_checked_at,last_sent_at,notes
Pool Training Academy,CPO/training,alex@pooltrainingacademy.com,https://pooltrainingacademy.com,sent,2026-08-28,2026-08-28,"Public contact on training page; closing-season field challenge sent."
Certified Pool Trainers,CPO/training,cptpools06@gmail.com,https://certifiedpooltrainers.com,sent,2026-08-28,2026-08-28,"Public contact on Certified Pool Trainers site; closing-season field challenge sent."
Pool Nation,Podcast/training,info@poolnation.online,https://www.poolnation.online/contact/,sent,2026-08-28,2026-08-28,"Public Pool Nation contact; closing-season field challenge sent."
Venture Pool Service,Service company,info@venturepoolservice.com,https://venturepoolservice.com/contact,sent,2026-08-28,2026-08-28,"Public service-company contact; closing-season field challenge sent."
Best Pool,Service company / HOA / training,mike@bestpool.com,https://bestpool.com,sent,2026-08-28,2026-08-28,"Public continuing-education contact surfaced in search; closing-season field challenge sent."
A Better Pool Service,Service company,service@abetterpoolservice.com,https://abetterpoolservice.com/code-of-ethics/,sent,2026-08-28,2026-08-28,"Public service contact; closing-season field challenge sent."
America's Commercial Pool Service,Commercial pool service / CPO,americascommercialpoolservice@gmail.com,https://www.americascommercialpoolservice.com/about,sent,2026-08-28,2026-08-28,"Public commercial pool service contact; closing-season field challenge sent."
The Deep End Pool Podcast,Podcast,deependfrank@gmail.com,https://thedeependpoolpodcast.com,hold_prior_history,2026-08-28,,"Prior Gmail history exists; do not resend without reviewing thread context."
Rule Your Pool / Orenda,Podcast/chemistry,info@orendatech.com,https://podcast.orendatech.com/rule-your-pool,hold_prior_history,2026-08-28,,"Prior Gmail history exists; do not resend without reviewing thread context."
IPSSA,Association/newsletter,editor@ipssa.com,https://www.ipssa.com,hold_prior_history,2026-08-28,,"Prior Gmail history exists; do not resend without reviewing thread context."
Florida Swimming Pool Association,Association/training,Education@FSPA.com,https://fspa.com/pool-pros/education/,hold_prior_history,2026-08-28,,"Prior Gmail history exists; do not resend without reviewing thread context."
Florida Swimming Pool Association,Association/training,Maria@fspa.com,https://fspa.com/pool-pros/education/,hold_prior_history,2026-08-28,,"Prior Gmail history exists; do not resend without reviewing thread context."
Talking Pools Podcast,Podcast/training,talkingpools@gmail.com,https://cpoclass.com/pool-service-entrepreneur/,hold_prior_history,2026-08-28,,"Prior Gmail history exists; do not resend without reviewing thread context."
Pool Nation Podcast,Podcast/training,edgar@poolnationpodcast.com,https://www.poolnation.online/contact/,hold_prior_history,2026-08-28,,"Prior Gmail history exists; route through existing thread if needed."
Aquatic Training Institute,CPO/training,info@aquatictraininginstitute.com,https://aquatictraininginstitute.com/contact-us/,hold_prior_history,2026-08-28,,"Prior Gmail history exists; do not resend without reviewing thread context."
United Pool Association,Association/insurance,info@unitedpoolassociation.org,https://unitedpoolassociation.org,hold_prior_history,2026-08-28,,"Prior Gmail history exists; do not resend without reviewing thread context."
